PUID,Name,Version,Extensions,Binary signature?,Container Signature?,Deprecated?
fmt/272,Microsoft Works Word Processor Macintosh,3,wps ,X,X,X
fmt/273,Microsoft Works Word Processor Macintosh,4,wps ,X,X,X
fmt/335,Dreamweaver Lock File,,lck ,X,X,X
fmt/367,ESRI World File Format,,bilw blw bpw btw jgw jpgw pgw rasterw tfw tifw ,X,X,X
fmt/421,Adobe Illustrator,Japan,ai ,X,X,X
fmt/497,Wireless Bitmap,,wbmp ,X,X,X
fmt/530,eRuby HTML document,,rhtm rhtml ,X,X,X
fmt/644,Nullsoft Scriptable Install System,,nsi ,X,X,X
fmt/658,Cypher Query Language,,cql ,X,X,X
fmt/664,Gerber Format,,gbr ,X,X,X
fmt/667,Photoshop Curve File,,acv atf ,X,X,X
fmt/701,Processing Development Environment,,pde ,X,X,X
fmt/720,MBOX,,mbox ,X,X,X
fmt/721,VLW Font File,,vlw ,X,X,X
fmt/800,CSV Schema,,csvs ,X,X,X
fmt/817,JSON Data Interchange Format,,json ,X,X,X
fmt/818,YAML,,yaml yml ,X,X,X
fmt/824,Apple iWork Pages,Generic,pages ,X,X,X
fmt/825,Apple iWork Numbers,Generic,numbers ,X,X,X
fmt/865,STL (Standard Tessellation Language) Binary,,stl ,X,X,X
fmt/870,Perl Script,,pl ,X,X,X
fmt/873,Notation3,,n3 ,X,X,X
fmt/874,Turtle,,ttl ,X,X,X
fmt/875,RDF/XML,,rdf ,X,X,X
fmt/879,Fortran,,f f03 f90 f95 for ,X,X,X
fmt/880,JSON-LD,,jsonld ,X,X,X
fmt/884,AXD HTTP Handler File,,axd ,X,X,X
fmt/885,BASIC File,,bas ,X,X,X
fmt/886,HTML Components,,htc ,X,X,X
fmt/897,Compressed MusicXML,,mxl ,X,X,X
fmt/938,Python Script File,,py ,X,X,X
fmt/941,Back Up File,,bak ,X,X,X
fmt/949,WordPerfect,4.0/4.1/4.2,wp4 wpd ,X,X,X
fmt/990,ESRI File Geodatabase,,,X,X,X
fmt/991,SHA256 File,,sha256 ,X,X,X
fmt/992,SHA1 File,,sha1 ,X,X,X
fmt/993,MD5 File,,md5 ,X,X,X
fmt/1062,Hasselblad 3FR Raw Image,,3fr ,X,X,X
fmt/1088,Visual Basic (VB) File,,vb ,X,X,X
fmt/1089,VBScript (VBS) File,,vbs ,X,X,X
fmt/1090,Exclude File,,exclude ,X,X,X
fmt/1119,Jupyter Python Notebook,,ipynb ,X,X,X
fmt/1149,Markdown,,md ,X,X,X
fmt/1165,Praat Script File,,praat ,X,X,X
fmt/1218,SubRip Subtitle File,,srt ,X,X,X
fmt/1229,Sibelius Sound Set Definition,,set ,X,X,X
fmt/1238,Band Interleaved By Line (BIL) Image Encoding,,bil ,X,X,X
fmt/1239,Band Interleaved By Pixel (BIP) Image Encoding,,bip ,X,X,X
fmt/1240,Band Sequential (BSQ) Image Encoding,,bsq ,X,X,X
fmt/1253,ESRI Code Page File,,cpg ,X,X,X
fmt/1257,AutoCAD Temporary File,,ac$ ,X,X,X
fmt/1365,Debug File,,dbg ,X,X,X
fmt/1367,GeoJSON,,geojson ,X,X,X
fmt/1369,Error File,,err ,X,X,X
fmt/1423,HP TRIM Outlook Saved Message File,,mbx vmbx ,X,X,X
fmt/1462,Comic Book Archive,,cb7 cba cbr cbt cbz ,X,X,X
fmt/1545,NeoDesk Icon File,1 and 2,nic ,X,X,X
fmt/1550,MATLAB Mat File,Level 4,mat ,X,X,X
fmt/1565,reStructuredText,,rst ,X,X,X
fmt/1576,Spectrum 512 Uncompressed | Spectrum 512 Uncompressed Enhanced,,spu ,X,X,X
fmt/1590,Visual Basic Binary Form File,,frx ,X,X,X
fmt/1597,PageMaker Template File,5.0,pt5 ,X,X,X
fmt/1598,Stata .do Command File,,do ,X,X,X
fmt/1599,R Program File,,r ,X,X,X
fmt/1600,ESRI ArcInfo DAT File (Internal),,,X,X,X
fmt/1619,Pascal Source Code,,pas ,X,X,X
fmt/1625,ESRI Colour File Format,,clr ,X,X,X
fmt/1650,Bayesian Interchange Format File,,bif ,X,X,X
fmt/1652,Typescript,,ts tsx ,X,X,X
fmt/1655,cdrLabel Label File,,clb ,X,X,X
fmt/1678,MATLAB Script File,,m ,X,X,X
fmt/1712,Calc602 Macro File,,mc6 ,X,X,X
fmt/1717,Time Stamp Token,,tst ,X,X,X
fmt/1723,Wordcraft Chapter Files,,1,X,X,X
fmt/1730,Data File,Generic,dat ,X,X,X
fmt/1735,C/C++ Header File,,h hpp hxx ,X,X,X
fmt/1758,Media Descriptor File,,mdf ,X,X,X
fmt/1761,MacBinary,I,,X,X,X
x-fmt/2,Microsoft Word for Macintosh Document,6.0,,X,X,Yes
x-fmt/3,Online Description Tool Format,,odt ,X,X,X
x-fmt/5,Works for Macintosh Document,4.0,,X,X,X
x-fmt/6,FoxPro Database,2.0,dbf ,X,X,X
x-fmt/7,FoxPro Database,2.5,dbf ,X,X,X
x-fmt/11,Revisable-Form-Text Document Content Architecture,,,X,X,X
x-fmt/13,Tab-separated values,,tsv ,X,X,X
x-fmt/14,Macintosh Text File,,,X,X,X
x-fmt/15,MS-DOS Text File,,,X,X,X
x-fmt/16,Unicode Text File,,,X,X,X
x-fmt/18,Comma Separated Values,,csv ,X,X,X
x-fmt/21,7-bit ANSI Text,,ans ,X,X,X
x-fmt/22,7-bit ASCII Text,,asc ,X,X,X
x-fmt/23,Microsoft Excel Backup,,xlk ,X,X,X
x-fmt/24,AutoCAD Block Attribute Template,,blk ,X,X,X
x-fmt/25,OS/2 Bitmap,1.0,,X,X,Yes
x-fmt/26,AutoCAD Batch Plot File,1.0-R14,bp2 bpl ,X,X,X
x-fmt/27,AutoCAD Batch Plot File,2000-2005,bp3 ,X,X,X
x-fmt/30,CorelDraw Template,,cdt ,X,X,X
x-fmt/38,AutoCAD Custom Dictionary,,cus ,X,X,X
x-fmt/39,AutoCAD dbConnect Query Set,,dbq ,X,X,X
x-fmt/40,AutoCAD dbConnect Template Set,,dbt ,X,X,X
x-fmt/42,Wordperfect Secondary File,5.0,doc ,X,X,X
x-fmt/43,Wordperfect Secondary File,5.1/5.2,doc ,X,X,X
x-fmt/46,Microsoft Excel ODBC Query,,dqy ,X,X,X
x-fmt/48,Visual Basic Macro,,dvb ,X,X,X
x-fmt/50,AutoCAD Drawing Standards File,,dws ,X,X,X
x-fmt/51,AutoCAD Drawing Template,,dwt ,X,X,X
x-fmt/52,Drawing Interchange Format Style Extract,,dxx ,X,X,X
x-fmt/54,AutoCAD Font Mapping Table,,fmp ,X,X,X
x-fmt/55,Frame Vector Metafile,,fmv ,X,X,X
x-fmt/57,Ventura Publisher Vector Graphics,,gem ,X,X,X
x-fmt/58,Microsoft Excel Web Query,,iqy ,X,X,X
x-fmt/59,AutoCAD Last Saved Layer State,,las ,X,X,X
x-fmt/60,AutoCAD Linetype Definition File,,lin ,X,X,X
x-fmt/61,AutoCAD Landscape Library,,lli ,X,X,X
x-fmt/62,Log File,,log ,X,X,X
x-fmt/63,AutoLISP File,,lsp ,X,X,X
x-fmt/68,AutoCAD Compiled Menu,,mnc ,X,X,X
x-fmt/69,AutoLISP Menu Source File,,mnl ,X,X,X
x-fmt/70,AutoCAD Menu Resource File,,mnr mnt ,X,X,X
x-fmt/71,AutoCAD Source Menu File,,mns ,X,X,X
x-fmt/72,AutoCAD Template Menu File,,mnu ,X,X,X
x-fmt/73,Microsoft Outlook Address Book,,olk ,X,X,X
x-fmt/74,Microsoft Excel OLAP Query,,oqy ,X,X,X
x-fmt/76,CorelDraw Pattern,,pat ,X,X,X
x-fmt/77,AutoCAD Plot Configuration File,R14,pc2 ,X,X,X
x-fmt/79,AutoCAD Plot Configuration File,1.0-R13,pcp ,X,X,X
x-fmt/81,Inkwriter/Notetaker Template,,pdt ,X,X,X
x-fmt/83,Hewlett Packard Vector Graphic Plotter File,,plt ,X,X,X
x-fmt/84,Microsoft Powerpoint Design Template,,pot ,X,X,X
x-fmt/86,Microsoft Powerpoint Add-In,,ppa ,X,X,X
x-fmt/87,Microsoft Powerpoint Presentation Show,97-2003,pps ,X,X,X
x-fmt/89,Freelance File,1.0-2.1,pre ,X,X,X
x-fmt/90,Microsoft Print File,,prn ,X,X,X
x-fmt/93,Postscript Support File,,psf ,X,X,X
x-fmt/96,Pocket Word Template,,pwt ,X,X,X
x-fmt/97,Microsoft Excel OLE DB Query,,rqy ,X,X,X
x-fmt/98,AutoCAD ACIS Export File,,sat ,X,X,X
x-fmt/99,Schedule+ Contacts,,scd ,X,X,X
x-fmt/100,AutoCAD Script,,scr ,X,X,X
x-fmt/102,3D Studio Shapes,,shp ,X,X,X
x-fmt/109,Scalable Vector Graphics Compressed,,svgz ,X,X,X
x-fmt/110,Fixed Width Values Text File,,,X,X,X
